query_name,pipeline_id,repetition,source_name,throughput,latency_us,pipeline_task_duration_us,pipeline_tuples,pipeline_task_count,pipeline_task_span_us,pipeline_avg_task_duration_us,end_to_end_tuples,end_to_end_duration_us,end_to_end_throughput,end_to_end_latency_us,avg_sink_latency_us,std_sink_latency_us,p50_sink_latency_us,p95_sink_latency_us,p99_sink_latency_us,sink_latency_count,is_inference_pipeline,batch_size,number_of_entries_prediction_cache,prediction_cache_scope,prediction_cache_type,use_batch_deduplication
ablation_cwru_lat.test_03,9,rep-01,CWRUSOURCE,116881.62137263933,10181.337931034483,8684.0,1015.0,85.0,10334058.0,102.16470588235295,486804.0,10876200.0,44758.64732167485,51098.661428395346,380710.0689655172,126144.10698693666,380341.0,611587.2,648374.1,1015,False,12,,,NONE,true
ablation_cwru_lat.test_03,10,rep-01,CWRUSOURCE,0.0,,4072.0,0.0,85.0,10333717.0,47.90588235294118,486804.0,10876200.0,44758.64732167485,51098.661428395346,380710.0689655172,126144.10698693666,380341.0,611587.2,648374.1,1015,False,12,,,NONE,true
ablation_cwru_lat.test_02,2,rep-01,CWRUSOURCE,871420.0557432161,27.607651128585633,558633.0,486804.0,102.0,13439515.0,5476.794117647059,486804.0,14112100.0,34495.50385839103,66627.68941757458,551541.2650246306,124045.52692802665,517415.0,850794.4,963587.92,1015,False,12,,,NONE,false
ablation_cwru_lat.test_02,3,rep-01,CWRUSOURCE,102090.24678643628,627.5934522697553,209736.0,21412.0,102.0,13438031.0,2056.235294117647,486804.0,14112100.0,34495.50385839103,66627.68941757458,551541.2650246306,124045.52692802665,517415.0,850794.4,963587.92,1015,False,12,,,NONE,false
ablation_cwru_lat.test_02,4,rep-01,CWRUSOURCE,1562.0575452765843,13053.703448275863,649784.0,1015.0,1015.0,13249509.0,640.1812807881773,486804.0,14112100.0,34495.50385839103,66627.68941757458,551541.2650246306,124045.52692802665,517415.0,850794.4,963587.92,1015,False,12,,,NONE,false
ablation_cwru_lat.test_02,5,rep-01,CWRUSOURCE,8385.865479151003,13050.80197044335,121037.0,1015.0,1015.0,13246564.0,119.24827586206897,486804.0,14112100.0,34495.50385839103,66627.68941757458,551541.2650246306,124045.52692802665,517415.0,850794.4,963587.92,1015,False,12,,,NONE,false
ablation_cwru_lat.test_02,6,rep-01,CWRUSOURCE,8607.953817644597,13145.376984126984,117101.0,1008.0,1015.0,13250540.0,115.3704433497537,486804.0,14112100.0,34495.50385839103,66627.68941757458,551541.2650246306,124045.52692802665,517415.0,850794.4,963587.92,1015,False,12,,,NONE,false
ablation_cwru_lat.test_02,7,rep-01,CWRUSOURCE,26.145790991319597,13483.554679802955,38820780.0,1015.0,85.0,13685808.0,456715.0588235294,486804.0,14112100.0,34495.50385839103,66627.68941757458,551541.2650246306,124045.52692802665,517415.0,850794.4,963587.92,1015,True,12,,,NONE,false
ablation_cwru_lat.test_02,8,rep-01,CWRUSOURCE,132161.45833333334,13239.051231527093,7680.0,1015.0,85.0,13437637.0,90.3529411764706,486804.0,14112100.0,34495.50385839103,66627.68941757458,551541.2650246306,124045.52692802665,517415.0,850794.4,963587.92,1015,False,12,,,NONE,false
ablation_cwru_lat.test_02,9,rep-01,CWRUSOURCE,0.0,,7052.0,0.0,85.0,13437514.0,82.96470588235294,486804.0,14112100.0,34495.50385839103,66627.68941757458,551541.2650246306,124045.52692802665,517415.0,850794.4,963587.92,1015,False,12,,,NONE,false
