query_name,pipeline_id,repetition,source_name,throughput,latency_us,pipeline_task_duration_us,pipeline_tuples,pipeline_task_count,pipeline_task_span_us,pipeline_avg_task_duration_us,end_to_end_tuples,end_to_end_duration_us,end_to_end_throughput,end_to_end_latency_us,openvino_enable_cpu_pinning,openvino_inference_num_threads,openvino_num_streams,prediction_cache_type,use_batch_deduplication
dlinear-48.test_02,6,rep-08,2,0.0,,648088.0,0.0,493158.0,13085640.0,1.31415895108667,7397222.0,16081760.0,459975.89816040033,84.37501127769829,false,1,0,NONE,false
dlinear-48.test_02,8,rep-08,SOLARPOWERSOURCE,3913459.951327902,0.030157943076468435,1890200.0,7397222.0,1048.0,223085.0,1803.6259541984732,7397222.0,16081760.0,459975.89816040033,84.37501127769829,false,1,0,NONE,false
dlinear-48.test_02,9,rep-08,SOLARPOWERSOURCE,3083401.4517394714,2.037119808277065,122336.0,377211.0,1102.0,768424.0,111.01270417422867,7397222.0,16081760.0,459975.89816040033,84.37501127769829,false,1,0,NONE,false
dlinear-48.test_02,2,rep-01,2,366768.253478097,2.7254217078801606,13445643.0,4931435.0,1048.0,13440240.0,12829.812022900764,7397222.0,16852674.0,438934.616548092,85.75198875843836,false,1,0,NONE,false
dlinear-48.test_02,3,rep-01,2,18149.553575700316,27.080828051050577,27171908.0,493158.0,493158.0,13355127.0,55.097773938575465,7397222.0,16852674.0,438934.616548092,85.75198875843836,false,1,0,NONE,false
dlinear-48.test_02,4,rep-01,2,6202.073754194129,27.078127091114816,79515017.0,493158.0,493158.0,13353795.0,161.23639279906237,7397222.0,16852674.0,438934.616548092,85.75198875843836,false,1,0,NONE,false
dlinear-48.test_02,5,rep-01,2,79956.65241040711,27.070251319049877,6167817.0,493158.0,493158.0,13349911.0,12.506776732811797,7397222.0,16852674.0,438934.616548092,85.75198875843836,false,1,0,NONE,false
dlinear-48.test_02,6,rep-01,2,0.0,,669212.0,0.0,493158.0,13347010.0,1.3569930934913355,7397222.0,16852674.0,438934.616548092,85.75198875843836,false,1,0,NONE,false
dlinear-48.test_02,8,rep-01,SOLARPOWERSOURCE,4294468.505079825,0.02452596393619118,1722500.0,7397222.0,1048.0,181424.0,1643.6068702290077,7397222.0,16852674.0,438934.616548092,85.75198875843836,false,1,0,NONE,false
dlinear-48.test_02,9,rep-01,SOLARPOWERSOURCE,4266813.608673374,1.7728346254067315,122951.0,524609.0,1122.0,930045.0,109.58199643493761,7397222.0,16852674.0,438934.616548092,85.75198875843836,false,1,0,NONE,false
