policy,scope,key_bytes,prediction_bytes,capacity,pool_keys,threads,hit_percent,repetition,ops_per_thread,total_ops,makespan_us,throughput_ops_per_second,ns_per_op_mean,ns_per_op_min_thread,ns_per_op_max_thread,hits,misses,observed_hit_rate,expected_hit_rate,status
LRU,shared,8,64,64,128,16,100,1,200000,3200000,1.44952e+06,2.20763e+06,7172.61,6912.15,7247.58,3199984,16,0.999995,0.999995,ok
LRU,shared,8,64,64,128,16,100,2,200000,3200000,1.50752e+06,2.12269e+06,7429.53,6782.53,7537.61,3199984,16,0.999995,0.999995,ok
LRU,private,8,64,64,128,24,0,0,200000,4800000,62885.5,7.63292e+07,267.761,192.103,314.427,0,4800000,0,0,ok
LRU,private,8,64,64,128,24,0,1,200000,4800000,65743,7.30116e+07,271.432,190.286,328.715,0,4800000,0,0,ok
LRU,private,8,64,64,128,24,0,2,200000,4800000,64121.2,7.48583e+07,268.262,189.791,320.606,0,4800000,0,0,ok
LRU,shared,8,64,64,128,24,0,0,200000,4800000,1.0709e+07,448223,53189.4,49895.4,53544.8,0,4800000,0,0,ok
LRU,shared,8,64,64,128,24,0,1,200000,4800000,1.07188e+07,447811,53503.5,53271.7,53594,0,4800000,0,0,ok
LRU,shared,8,64,64,128,24,0,2,200000,4800000,1.06884e+07,449086,53342.4,52900.2,53441.9,0,4800000,0,0,ok
LRU,private,8,64,64,128,24,50,0,200000,4800000,47435.2,1.01191e+08,187.813,138.411,237.176,2400000,2400000,0.5,0.5,ok
LRU,private,8,64,64,128,24,50,1,200000,4800000,41395,1.15956e+08,181.708,131.067,206.975,2400000,2400000,0.5,0.5,ok
LRU,private,8,64,64,128,24,50,2,200000,4800000,42309,1.13451e+08,186.377,135.651,211.545,2400000,2400000,0.5,0.5,ok
LRU,shared,8,64,64,128,24,50,0,200000,4800000,7.66793e+06,625983,38250.8,37954.5,38339.7,2391140,2408860,0.498154,0.5,inexact
LRU,shared,8,64,64,128,24,50,1,200000,4800000,7.61007e+06,630743,37938.6,37049.8,38050.3,2394464,2405536,0.498847,0.5,inexact
LRU,shared,8,64,64,128,24,50,2,200000,4800000,7.41798e+06,647077,36281,33295.6,37089.9,2387595,2412405,0.497416,0.5,inexact
LRU,private,8,64,64,128,24,100,0,200000,4800000,30035.3,1.59812e+08,72.9657,41.4917,150.177,4799976,24,0.999995,0.999995,ok
